Postalcode,Borough,Neighbourhood,Latitude,Longitude,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
M3A,North York,Parkwoods,43.753259,-79.329656,Park,Food & Drink Shop,Yoga Studio,Doner Restaurant,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Donut Shop
M1B,Scarborough,"Rouge, Malvern",43.806686,-79.194353,Fast Food Restaurant,Print Shop,Yoga Studio,Doner Restaurant,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Donut Shop
M4B,East York,"Woodbine Gardens, Parkview Hill",43.706397,-79.309937,Fast Food Restaurant,Pizza Place,Athletics & Sports,Intersection,Bus Line,Gastropub,Bank,Pharmacy,Gym / Fitness Center,Dumpling Restaurant
M6B,North York,Glencairn,43.709577,-79.445073,Park,Asian Restaurant,Pub,Japanese Restaurant,Metro Station,Dog Run,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store
M9B,Etobicoke,"Cloverdale, Islington, Martin Grove, Princess ...",43.650943,-79.554724,Filipino Restaurant,Print Shop,Yoga Studio,Doner Restaurant,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Donut Shop
M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union",43.784535,-79.160497,Moving Target,Construction & Landscaping,Bar,Yoga Studio,Doner Restaurant,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Donut Shop
M4C,East York,Woodbine Heights,43.695344,-79.318389,Park,Dance Studio,Curling Ice,Skating Rink,Video Store,Pharmacy,Beer Store,Asian Restaurant,Cosmetics Shop,Yoga Studio
M6C,York,Humewood-Cedarvale,43.693781,-79.428191,Trail,Field,Hockey Arena,Yoga Studio,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant
M1E,Scarborough,"Guildwood, Morningside, West Hill",43.763573,-79.188711,Electronics Store,Medical Center,Mexican Restaurant,Spa,Breakfast Spot,Pizza Place,Rental Car Location,Intersection,Dim Sum Restaurant,Diner
M4E,East Toronto,The Beaches,43.676357,-79.293031,Other Great Outdoors,Health Food Store,Pub,Neighborhood,Trail,Drugstore,Donut Shop,Doner Restaurant,Dog Run,Dumpling Restaurant
M6E,York,Caledonia-Fairbanks,43.689026,-79.453512,Park,Fast Food Restaurant,Market,Women's Store,Gift Shop,German Restaurant,Electronics Store,Eastern European Restaurant,Golf Course,Dumpling Restaurant
M1H,Scarborough,Cedarbrae,43.773136,-79.239476,Gas Station,Bakery,Fried Chicken Joint,Caribbean Restaurant,Athletics & Sports,Thai Restaurant,Bank,Hakka Restaurant,Dumpling Restaurant,Drugstore
M2H,North York,Hillcrest Village,43.803762,-79.363452,Mediterranean Restaurant,Golf Course,Fast Food Restaurant,Athletics & Sports,Dog Run,Pool,Yoga Studio,Dim Sum Restaurant,Diner,Discount Store
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
